job-title,company,locations,edited_job-title,edited_company,edited_locations,years_of_experience,job_description,job_type
Senior Process Executive,Infosys BPM Limited,Bengaluru,Senior-Process-Executive,Infosys-BPM-Limited,Bengaluru,1-3 Years,Responsibilities 	Good Communication Skill.	Strong knowledge on SQL is must.	Audience Build for campaigns using SQL in SAS platform.	Understand list-selection criteria and ensure achievement of all objectives.	Create & send waterfall reports for Campaign manager's approval.	Perform quality check and ensure quality in campaign implementation.	Coordinate with clients and prepare lists for all campaigns.	Supervise effective implementation of marketing campaigns; recommend changes and modifications to various campaign data.	Analyze campaigns and provide recommend improvements to all campaigns and prepare appropriate reports.	Perform troubleshoot on all campaigns to ensure quality of all programs.	Monitor inventories for all campaigns daily and ensure client satisfaction in all activities.	Participate in all calls related to campaigns.,Permanent Job
Python QA,Wipro Limited,"Bengaluru, Kolkata, Pune",Python-QA,Wipro-Limited,Bengaluru-Kolkata-Pune,4-14 Years,"Strong Proficiency in Python with a solid understand on OOPS principles.Develop and execute automated test scripts using Python and Related framework.Implement OOPS principles in writing reusable, maintainable and scalable code for Test Automation.Experience with test automation frameworks such as Pytest, Robot Framework etc.Design & maintain automation test suites different modules.Full TimeBangalore, Pune, kolkata (Hybrid)4 -14 yrs",Permanent Job
Walk-in Drive on AutoCAD 3D skill on 17th Jan at Hyderabad.,Infosys BPM Limited,Hyderabad,Walk-in-Drive-on-AutoCAD-3D-skill-on-17th-Jan-at-Hyderabad-,Infosys-BPM-Limited,Hyderabad,1-4 Years,"Job descriptionGreeting from Infosys BPM Ltd.,Exclusive Walkin drive!!We are hiring for AutoCAD 3D skills. Please walk-in for interview on 17th Jan 2025 at Hyderabad location.,Note: Please carry copy of this email to the venue.Interview details.Interview Date: 17th Jan 2025Interview Time: 10:00 AM till 1:00 PMInterview Venue:Hyderabad Venue:Infosys STP Madhava Reddy colony, Near Wipro Circle Gachibowli Hyderabad 500032Documents to Carry:Carry a printout your updated resume.Carry any 2 photo Identity proof (PAN Card/Driving License/Voters ID card/Passport).Please find below Job Description for your reference:Proficiency in AutoCAD 3D application is required.Experience in working with utilities projects is must.Good knowledge and understanding of GIS, Field maps and related areas.Experience of working in ArcGIS is an added advantageExperience in working with utilities projects (Electrical) is an added advantageWork experience of 1 to 4 yearsExcellent written and verbal communication skillsImmediate Joiners will be preferredPointers to note:Please do not carry laptops/cameras to the venue as these will not be allowed due to security restrictions.Original Government ID card is a traveled must for Security Clearance.Regards,Infosys BPM Recruitment team.",Permanent Job
Java + Springboot Senior Developer,Infosys Limited,Bengaluru,Java-Springboot-Senior-Developer,Infosys-Limited,Bengaluru,3-5 Years,"Responsibilities Develop and maintain RESTful services using Spring Boot.Participate in microservices design and implementation.Write unit and integration tests to ensure code quality.Collaborate with cross-functional teams to define, design, and ship new features.Work on performance tuning and optimization of applications.Follow coding standards and contribute to code reviews.Technical and Professional Requirements: 	Primary skills:Technology->Java->Java - ALL Preferred Skills: Technology->Java->Java - ALL Additional Responsibilities: Skills Required:Strong proficiency in Java 8+.Solid understanding of Spring Boot and Spring Cloud components.Experience with microservices architecture, including service discovery, load balancing, and API gateway.Knowledge of containerization technologies like Docker.Familiarity with CI/CD tools (Jenkins, GitLab CI).Understanding of databases (SQL and NoSQL).Good grasp of version control systems like Git. Educational RequirementsMCA,MSc,MTech,Bachelor of Engineering,BCA,BSc,BTech Service LineApplication Development and Maintenance",Permanent Job
Hadoop Developer,HCL Technologies Limited,"Chennai, Bengaluru",Hadoop-Developer,HCL-Technologies-Limited,Chennai-Bengaluru,8-13 Years,"DescriptionWe are looking for a highly skilled Hadoop Developer with 8-13 years of experience in the Indian job market. The ideal candidate should have a deep understanding of Hadoop, its ecosystem, and related technologies. The role involves designing, developing, and maintaining Hadoop applications that handle large volumes of data. The candidate should be a team player with excellent communication skills.ResponsibilitiesDesign, develop, and maintain Hadoop applications that handle large volumes of dataWork with cross-functional teams to identify business requirements and provide technical solutionsTroubleshoot and debug Hadoop applicationsOptimize Hadoop applications for performance and scalabilityEnsure data quality and integrity in Hadoop applicationsCollaborate with data scientists and analysts to develop data-driven insightsSkills and QualificationsBachelor's or Master's degree in Computer Science or a related field8-13 years of experience in developing Hadoop applicationsStrong programming skills in Java, Python, or ScalaExpertise in Hadoop ecosystem technologies, such as HDFS, Hive, Pig, MapReduce, Spark, and KafkaExperience with big data processing frameworks such as Apache Flink and Apache StormExperience with cloud-based Hadoop solutions such as Amazon EMR and Google Cloud DataprocStrong problem-solving skillsExcellent communication and collaboration skills",Permanent Job
Databricks Engineer,Tata Consultancy Services Limited,"Delhi, Delhi NCR",Databricks-Engineer,Tata-Consultancy-Services-Limited,Delhi-Delhi-NCR,4-9 Years,"Job descriptionBuild and maintain the technology platform for both on premise and cloud-based solutions Responsible for engineering a new cloud data platform analyzing different emerging technology solutions that range from Microsoft Synapse, Azure Data factory, Azure Data Lake, Databricks, Azure Blob Storage, HDInsights, PowerBI, or SQL DWH and more 2+ years of experience with Azure cloud data engineering tools (Azure Data Factory, Data Lake storage, data bricks, Data Explorer, Azure Synapse, Azure Blob Storage)",Permanent Job
Network Engineer LAN,Tata Consultancy Services Limited,Hyderabad,Network-Engineer-LAN,Tata-Consultancy-Services-Limited,Hyderabad,5-10 Years,"Job descriptionExperience in Microsoft Visio, CADE, DIA or any other Network designing toolExpertise in Network design Switching Models Cisco 6500/6900, Nexus 9K, 7K, 5K, 2K and Cisco Catalyst 4500, 3800, 3500, 2900Strong knowledge in Switching technologies - VPC, FEX, VDC, Cisco VSS, VPC, STP, Trunking, Ether channel, HSRP, VRRP, LACP, PaGP, Stacking etcStrong knowledge in Routing technologies: Handling Cisco ISR/ASR routers, Protocols include BGP, OSPF, EIGRP, MPLS, VRF, L3 VPNs, IPsec, VPN, QoS, Intelligent WAN Cisco ACI, APIC, SDA, ISE & DNAC",Permanent Job
INNOVATION PROJECT MANAGER,Capgemini Technology Services India Limited,Kolkata,INNOVATION-PROJECT-MANAGER,Capgemini-Technology-Services-India-Limited,Kolkata,12-14 Years,"Job descriptionSubject matter experts in Marketing and Comms provide business stakeholders with specialized advice on their subjects, and act as an advisor leveraging on a specific MC expertise. Shehe.is a person with indepth, unique knowledge and expertise on a specific subject or in a particular industry ex digital marketing, internal comms, telecom,etc.Job Description:MBA preferred, bachelors degree in marketing, advertising, communications, or related field.Demonstrated track record of managing innovation projects to successful outcomes.Strong knowledge of product and packaging innovation or new product development processes.Strong experience in using the Microsoft Office suite with strong Excel and PowerPoint skills.Strong technical and organizational skills in addition to excellent written and verbal communication skills.Primary Skills:12+ years of experience in project management within a CPG or FMCG environment.6+ years of product innovation and marketing experience.Secondary Skills:Strong relationship building, communication, and influencing skills.Should be committed and focused to succeed under challenging work environment.",Permanent Job
Associate Consultant,Infosys BPM Limited,Bengaluru,Associate-Consultant,Infosys-BPM-Limited,Bengaluru,5-9 Years,"Responsibilities 	Measure identified KPIs	Always strive towards meeting sales quota 	Track and document calls and sales	Update client records 	Prepare and present achievements and KPIs	Work with key stake holders internally to complete the sale process	Build Internal n External relationships	Manage all inbound leads generated through marketing activitiesTechnical and Professional Requirements: Tele-sales Representative requirements and qualifications	5-6 years of experience as Tele-sales Representative or similar sales role	Proven record of meeting sales quota in a consistent manner 	Hands on experience with sales tools such as CRM software	Ability and willingness to learn about products and services specifications and benefits	Patient and friendly personality  to be able to dial 100-120 prospect numbers on a daily basis	Team player	Good time-management skills	Great interpersonal, communication, presentation, and negotiation skills	Account Management skills, Relationship Building skills	BSc/BA is a plus",Permanent Job
IT/OT Architect,Capgemini Technology Services India Limited,Bengaluru,IT-OT-Architect,Capgemini-Technology-Services-India-Limited,Bengaluru,9-12 Years,"Job descriptionPrimary Skills:I. Strong knowledge of IoT platforms and technologies, including sensor devices, gateways, communication protocols, and IoT frameworks.II. Expertise in designing and architecting scalable and secure IoT solutions.III. Proficiency in integrating IoT systems with cloud platforms (Azure IoT)IV. Understanding edge computing and analytics for real-time data processing and decision-making.V. IoT data management and storage knowledge, including databases, data lakes, and streaming platforms.VI. Familiarity with IoT security principles and best practices, including device authentication, encryption, and secure data transmission.VII. Experience designing IoT architectures that can handle large-scale deployments and high data volumes.Secondary Skills:VIII. Ability to design and implement IoT analytics solutions for extracting insights from sensor data.IX. Understanding IoT connectivity options, including cellular networks, Wi-Fi, and LPWAN (Low Power Wide Area Network).X. Proficiency in IoT integration with enterprise systems and applications, such as ERP, CRM, and supply chain management.XI. Knowledge of IoT data visualization and dashboarding tools for effective presentation of IoT insights.XII. Awareness of emerging IoT technologies and standards, such as edge AI, digital twins, and MQTT.Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.1. Applies scientific methods to analyse and solve software engineering problems.2. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.3. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.4. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.5. The software engineer collaborates and acts as team player with other software engineers and stakeholders.",Permanent Job
INFOR WFM Tester,Birlasoft Limited,"Bengaluru, Noida, Pune",INFOR-WFM-Tester,Birlasoft-Limited,Bengaluru-Noida-Pune,6-10 Years,"Birlasoft, a powerhouse where domain expertise, enterprise solutions, and digital technologies converge to redefine business processes. We take pride in our consultative and design thinking approach, driving societal progress by enabling our customers to run businesses with unmatched efficiency and innovation. As part of the CK Birla Group, a multibillion-dollar enterprise, we boast a 12,500+ professional team committed to upholding the Group's 162-year legacy. Our core values prioritize Diversity, Equity, and Inclusion (DEI) initiatives, along with Corporate Sustainable Responsibility (CSR) activities, demonstrating our dedication to building inclusive and sustainable communities. Join us in shaping a future where technology seamlessly aligns with purpose.INFOR WFM Functional TestingExperience: 6-9+YearsLocation: Pune, Mumbai, Noida, Bangalore, Hyderabad, Chennai.Job Description:Functional testing of system configuration includes but is not limited to pay rules, absences and security per cast population group.Write and update test scripts based on business requirements.Follow and execute test scripts & document testing results.Document defects per direction of project team.Retest defects once fixed.Read and understand test data.Work in Disney provided test tracking tool qTest.Knowledge of Infor WFM.",Permanent Job
Data Security Analyst,Wipro Limited,Bengaluru,Data-Security-Analyst,Wipro-Limited,Bengaluru,2-6 Years,"Job Description Data Security AnalystBe a Data security analyst and provide First line of defense to the organization.Implement / assess security baselines for Data security solutions.Perform security reviews and identify security gaps in security architecture / tools resulting in recommendations for inclusion in the risk mitigation strategy.Monitor and Evaluate Systems compliance with Information technology security resilience, and dependability requirements.Assess the effectiveness of security controls to ensure compliance with organizational security policies and procedures, standards, and security requirements applicable to the system.Work closely with IT team, corporate functions, Legal & Business Team by highlighting importance of the security practices and control and guide them in remediation of gaps identifiedUnderstand the vulnerabilities from alerts, advisories and bulletins for Identity & Access management and govern the remedial actions.Document the findings from security assessments and report them to the stakeholders.",Permanent Job
Cloud Security Analyst,Wipro Limited,Bengaluru,Cloud-Security-Analyst,Wipro-Limited,Bengaluru,2-7 Years,"Responsibilities:Be a Cloud security analyst and provide First line of defense to the organization.Implement / assess security baselines for Cloud security solutions.Perform security reviews and identify security gaps in security architecture / tools resulting in recommendations for inclusion in the risk mitigation strategy.Monitor and Evaluate Systems compliance with Information technology security resilience, and dependability requirements.Assess the effectiveness of security controls to ensure compliance with organizational security policies and procedures, standards, and security requirements applicable to the system.Work closely with IT team, corporate functions, Legal & Business Team by highlighting importance of the security practices and control and guide them in remediation of gaps identifiedUnderstand the vulnerabilities from alerts, advisories and bulletins for Cloud security and govern the remedial actions.Document the findings from security assessments and report them to the stakeholders.",Permanent Job
Network Security Analyst,Wipro Limited,Bengaluru,Network-Security-Analyst,Wipro-Limited,Bengaluru,2-6 Years,"ResponsibilitiesBe a Network security analyst and provide First line of defense to the organization.Implement / assess security baselines for Network security solutions.Perform security reviews and identify security gaps in security architecture / tools resulting in recommendations for inclusion in the risk mitigation strategy.Monitor and Evaluate Systems compliance with Information technology security resilience, and dependability requirements.Assess the effectiveness of security controls to ensure compliance with organizational security policies and procedures, standards, and security requirements applicable to the system.Work closely with IT team, corporate functions, Legal & Business Team by highlighting importance of the security practices and control and guide them in remediation of gaps identifiedUnderstand the vulnerabilities from alerts, advisories and bulletins for Network security and govern the remedial actions.Document the findings from security assessments and report them to the stakeholders.",Permanent Job
Oracle SCM Architect,Birlasoft Limited,Pune,Oracle-SCM-Architect,Birlasoft-Limited,Pune,8-13 Years,"1. About the Job - Ability to relate the product functionality to business processes, and thus offer implementationadvice to customers on how to meet their various business scenarios using Oracle SCM.2. Job Title - Oracle SCM Architect3. Location: Pune4. Educational Background - BE/Btech5. Key Responsibilities -o Total Oracle ERP experience of 15+ yrs.o Hands on experience of Oracle R12 with deep functional knowledge of core Oracle EBS SCM modules (OM, Shipping, Purchasing, Inventory, iProcurement, iSupplier, Sourcing modules)o Must have handled complex SCM end-to-end implementations on single global instance having multiple LE s and OU s across the multiple geographieso Ability to strategize and recommend to-be supply chain landscape based on broader client supply chain strategyo Suggest best practices and industry trends in SCM process areas and areas of improvements within client landscapeo Should have worked on complex implementation/upgrade projects with heavily customized and integrated environments and instanceso Willingness to operate and progress in areas that are outside of previous experience & can multi-task and prioritize across concurrent projects may be required.o Experience in Oracle SCM Cloud is a pluso Excellent client facing skillso Ability to lead client conversation and suggest future roadmap from application perspectiveo Excellent written and communication skills6. Skills Required : OM, Shipping, Purchasing, Inventory, iProcurement, iSupplier, Sourcing modules",Permanent Job
MES Apriso Developer,Birlasoft Limited,"Noida, Mumbai, Pune",MES-Apriso-Developer,Birlasoft-Limited,Noida-Mumbai-Pune,3-8 Years,"Minimum 5 to 6 years in MES and Manufacturing domain3+ years of object-oriented programming experience Should have working experience in any of the Apriso version starting 2016 till 2021or latestGood knowledge and working experience in Apriso Production Apriso Quality Apriso Warehouse Apriso Maintenance Apriso Time & Labor Apriso Process Builder, Machine Integrator, Business IntegratorGood knowledge of Apriso dashboard and MPI is added advantage Must be proficient in JavaScript/ C# Script and SQL Server/OracleCSS/HTML, AJAX, jQuery, JSON knowledge is a plus Experience in Apriso Must have been part of one or more end to end MES implementations using any of the Apriso version mentioned aboveWell versed with deployment and release management processes through GPMHands-on experience on Process Builder, Machine Integration and Business Integration.Must have built mapping for ERP integration and OPC integration Well versed with deployment and release management processes through GPM Familiar with source control/versioning concepts and creating scripts for database objects Well versed with SDLC methodologies  Responsibilities:Create appropriate technical designs based on functional specificationsAuthor processes in Apriso using Process Builder Build interfaces and mapping using Apriso or third-party tools Configure and develop required extensions to the Apriso software suite Configure and develop required interfaces to disparate external system and hardwareCreate appropriate technical and functional test plans and ensure quality of developed softwareExecution of system and integration testing at customer site together with customerProvide technical support for MES system until transition to supportEnsure overall quality of final solutionManagesmall team of analysts, developers, testers or engineers and drive delivery of a small module within a project (Delivery/Maintenance/Testing)",Permanent Job
